Job Title,Company,Job Description
Aluminium Fabrication and Computer Aided Design Instructior.,Ixar Mobile ~~ 0,"Training students in computer aided design and aluminum fabrication in order to be able to create products like windows, doors, doorframes, office partitions e.t.c"
Electronic Engineer/Technician,Ixar Mobile ~~ 0,"Training students in electronics repairs covering gadgets like cellphones, computers, inverters e.tc"
ASSISTANT LOANS OFFICER,N/A,Energetic young people to be trained as loans officer
Heavy Machinery Truck Sales Executive,ST-ONE Machinery,"We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …"
Sales and Business Development Officer,N/A,"We are looking for a young at heart, genuine, quick thinker, self starter, dynamic and results-driven person who will be responsible for developing and implementing marketing strategies to drive brand growth, increase sales, and enhance our market position. The role involves assisting in digital marketing, content creation, market research, event …"
Personal Assistant to CEO,Southsea Investments Pvt Ltd,An exciting opportunity has arisen for suitably qualified and self-driven individuals in a leading diversified conglomerate for the position of Personal Assistant (PA to CEO). The successful candidate will be responsible for driving business performance through providing administrative and secretarial support to the CEO.
Supply Chain Attachee (Mutare Branch),Nash Paints,"Nash Paints is looking for a Procurement, Purchasing and Supply Chains Management Attachee to join their organization."
SALES AND MARKETING  INTERN,Nash Paints,Nash Paints is looking for a Sales and Marketing Attachees to join their organization.
Sales Representative - Gokwe,N/A,"Deadline :14 April 2025 Job Description We are looking for self-driven and enthusiastic sales people to join our company in the motor spares industry, the individual must be based in Gokwe."
General Hand,N/A,Location: Harare Job Description We are looking for a Cleaner to carry out cleaning of our facilities on fixed-term contract.
